,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
71.0,10:00p,Detroit Pistons,102,Sacramento Kings,112,Box Score,,"16,916",
72.0,7:00p,Atlanta Hawks,123,Philadelphia 76ers,121,Box Score,,"20,487",
73.0,7:00p,Milwaukee Bucks,106,Washington Wizards,113,Box Score,,"17,996",
74.0,7:30p,Indiana Pacers,121,New York Knicks,106,Box Score,,"19,812",
75.0,7:30p,Brooklyn Nets,105,Toronto Raptors,122,Box Score,,"19,800",
76.0,8:00p,Cleveland Cavaliers,113,Houston Rockets,141,Box Score,,"18,055",
77.0,8:00p,Dallas Mavericks,119,Minnesota Timberwolves,115,Box Score,,"18,978",
78.0,10:00p,Charlotte Hornets,96,Portland Trail Blazers,127,Box Score,,"19,393",
79.0,10:00p,Los Angeles Lakers,95,Utah Jazz,113,Box Score,,"18,306",
80.0,10:30p,Chicago Bulls,109,Golden State Warriors,146,Box Score,,"19,596",
81.0,3:30p,Detroit Pistons,109,Los Angeles Clippers,104,Box Score,,"16,540",
82.0,5:00p,Memphis Grizzlies,108,Miami Heat,112,Box Score,,"19,600",
83.0,7:00p,Boston Celtics,103,Orlando Magic,105,Box Score,,"18,846",
84.0,8:00p,New Orleans Pelicans,106,Minnesota Timberwolves,110,Box Score,,"16,384",
85.0,8:00p,San Antonio Spurs,112,Oklahoma City Thunder,122,Box Score,,"18,203",
86.0,9:00p,Denver Nuggets,93,Phoenix Suns,102,Box Score,,"15,246",
87.0,10:00p,Charlotte Hornets,97,Sacramento Kings,104,Box Score,,"17,853",
88.0,10:00p,Chicago Bulls,102,Utah Jazz,110,Box Score,,"18,306",
89.0,1:00p,Philadelphia 76ers,108,New York Knicks,105,Box Score,,"18,596",
90.0,1:00p,Toronto Raptors,140,Washington Wizards,138,Box Score,2OT,"16,919",
91.0,3:30p,Milwaukee Bucks,133,Atlanta Hawks,114,Box Score,,"16,292",
92.0,6:00p,Houston Rockets,109,Orlando Magic,116,Box Score,,"16,982",
93.0,7:00p,Golden State Warriors,119,Dallas Mavericks,114,Box Score,,"20,340",
94.0,8:00p,Portland Trail Blazers,113,Denver Nuggets,116,Box Score,,"19,520",
95.0,9:30p,Cleveland Cavaliers,101,Los Angeles Lakers,95,Box Score,,"18,997",
96.0,7:30p,Boston Celtics,102,Brooklyn Nets,109,Box Score,,"16,247",
97.0,8:00p,Memphis Grizzlies,94,Houston Rockets,112,Box Score,,"18,055",
98.0,8:30p,Charlotte Hornets,108,San Antonio Spurs,93,Box Score,,"18,354",
99.0,9:00p,Detroit Pistons,94,Utah Jazz,100,Box Score,,"18,306",
100.0,10:00p,Portland Trail Blazers,107,Sacramento Kings,115,Box Score,,"17,583",
101.0,10:30p,New Orleans Pelicans,121,Los Angeles Clippers,117,Box Score,,"15,283",
102.0,7:00p,Phoenix Suns,97,Indiana Pacers,131,Box Score,,"15,698",
103.0,7:00p,Minnesota Timberwolves,107,Philadelphia 76ers,149,Box Score,,"20,265",
104.0,7:30p,Oklahoma City Thunder,126,Atlanta Hawks,142,Box Score,,"15,045",
105.0,8:00p,Miami Heat,86,Milwaukee Bucks,124,Box Score,,"17,626",
106.0,9:00p,Golden State Warriors,142,Denver Nuggets,111,Box Score,,"19,896",
107.0,10:30p,Chicago Bulls,100,Los Angeles Lakers,107,Box Score,,"18,997",
108.0,7:00p,Orlando Magic,115,Detroit Pistons,120,Box Score,OT,"14,019",
109.0,8:00p,Toronto Raptors,108,Boston Celtics,117,Box Score,,"18,624",
110.0,8:00p,Brooklyn Nets,145,Houston Rockets,142,Box Score,OT,"18,055",
111.0,8:00p,Milwaukee Bucks,111,Memphis Grizzlies,101,Box Score,,"14,921",
112.0,8:30p,San Antonio Spurs,105,Dallas Mavericks,101,Box Score,,"20,214",
113.0,10:00p,Cleveland Cavaliers,112,Portland Trail Blazers,129,Box Score,,"19,089",
114.0,10:30p,New Orleans Pelicans,140,Golden State Warriors,147,Box Score,,"19,596",
115.0,10:30p,Utah Jazz,129,Los Angeles Clippers,109,Box Score,,"15,535",
116.0,3:00p,New York Knicks,100,Washington Wizards,101,Box Score,,"19,078","at London, England"
117.0,7:00p,Sacramento Kings,95,Charlotte Hornets,114,Box Score,,"15,431",
118.0,7:00p,Philadelphia 76ers,120,Indiana Pacers,96,Box Score,,"16,007",
119.0,7:30p,Phoenix Suns,109,Toronto Raptors,111,Box Score,,"19,800",
120.0,9:00p,Chicago Bulls,105,Denver Nuggets,135,Box Score,,"17,289",
121.0,9:30p,Los Angeles Lakers,138,Oklahoma City Thunder,128,Box Score,OT,"18,203",
122.0,7:00p,Memphis Grizzlies,116,Boston Celtics,122,Box Score,,"18,624",
123.0,7:00p,Miami Heat,93,Detroit Pistons,98,Box Score,,"17,228",
124.0,7:00p,Brooklyn Nets,117,Orlando Magic,115,Box Score,,"17,840",
125.0,8:00p,San Antonio Spurs,116,Minnesota Timberwolves,113,Box Score,,"17,222",
126.0,9:00p,Cleveland Cavaliers,99,Utah Jazz,115,Box Score,,"18,306",
127.0,10:30p,Golden State Warriors,112,Los Angeles Clippers,94,Box Score,,"19,068",
128.0,10:30p,New Orleans Pelicans,112,Portland Trail Blazers,128,Box Score,,"19,598",
129.0,3:30p,Oklahoma City Thunder,117,Philadelphia 76ers,115,Box Score,,"20,646",
130.0,5:00p,Phoenix Suns,115,Charlotte Hornets,135,Box Score,,"19,278",
131.0,7:00p,Sacramento Kings,103,Detroit Pistons,101,Box Score,,"15,377",
132.0,7:00p,Dallas Mavericks,99,Indiana Pacers,111,Box Score,,"17,508",
133.0,7:00p,Milwaukee Bucks,118,Orlando Magic,108,Box Score,,"18,846",
134.0,7:30p,Boston Celtics,113,Atlanta Hawks,105,Box Score,,"16,626",
135.0,7:30p,Memphis Grizzlies,90,Toronto Raptors,119,Box Score,,"19,800",
136.0,8:00p,Miami Heat,117,Chicago Bulls,103,Box Score,,"20,926",
137.0,8:30p,Los Angeles Lakers,134,Houston Rockets,138,Box Score,OT,"18,055",
138.0,10:00p,Cleveland Cavaliers,102,Denver Nuggets,124,Box Score,,"19,520",
139.0,6:00p,Charlotte Hornets,95,Indiana Pacers,120,Box Score,,"15,015",
140.0,7:00p,Phoenix Suns,114,Minnesota Timberwolves,116,Box Score,,"14,607",
141.0,7:00p,Los Angeles Clippers,103,San Antonio Spurs,95,Box Score,,"18,354",
142.0,12:30p,Oklahoma City Thunder,127,New York Knicks,109,Box Score,,"19,493",
143.0,1:00p,Chicago Bulls,104,Cleveland Cavaliers,88,Box Score,,"19,432",
144.0,2:00p,Dallas Mavericks,106,Milwaukee Bucks,116,Box Score,,"17,963",
145.0,2:00p,Detroit Pistons,87,Washington Wizards,101,Box Score,,"16,229",
146.0,3:00p,Orlando Magic,122,Atlanta Hawks,103,Box Score,,"16,611",
147.0,3:30p,Sacramento Kings,94,Brooklyn Nets,123,Box Score,,"14,233",
148.0,5:30p,New Orleans Pelicans,105,Memphis Grizzlies,85,Box Score,,"17,794",
149.0,6:00p,Miami Heat,99,Boston Celtics,107,Box Score,,"18,624",
150.0,8:00p,Houston Rockets,93,Philadelphia 76ers,121,Box Score,,"20,313",
151.0,9:00p,Portland Trail Blazers,109,Utah Jazz,104,Box Score,,"18,306",
152.0,10:30p,Golden State Warriors,130,Los Angeles Lakers,111,Box Score,,"18,997",
153.0,7:00p,Sacramento Kings,105,Toronto Raptors,120,Box Score,,"19,800",
154.0,8:00p,Portland Trail Blazers,114,Oklahoma City Thunder,123,Box Score,,"18,203",
155.0,8:30p,Los Angeles Clippers,98,Dallas Mavericks,106,Box Score,,"19,466",
156.0,9:00p,Minnesota Timberwolves,118,Phoenix Suns,91,Box Score,,"14,460",
157.0,7:00p,Toronto Raptors,106,Indiana Pacers,110,Box Score,,"16,879",
158.0,7:30p,Cleveland Cavaliers,103,Boston Celtics,123,Box Score,,"18,624",
159.0,7:30p,Orlando Magic,110,Brooklyn Nets,114,Box Score,,"13,185",
160.0,7:30p,Los Angeles Clippers,111,Miami Heat,99,Box Score,,"19,600",
161.0,7:30p,Houston Rockets,114,New York Knicks,110,Box Score,,"18,819",
162.0,8:00p,Atlanta Hawks,121,Chicago Bulls,101,Box Score,,"18,223",
163.0,8:00p,Charlotte Hornets,118,Memphis Grizzlies,107,Box Score,,"12,863",
