,0.0,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
65.0,"Sat, Nov 10, 2018",7:00p,Phoenix Suns,99,New Orleans Pelicans,119,Box Score,,"15,222",
66.0,"Sat, Nov 10, 2018",8:00p,Cleveland Cavaliers,98,Chicago Bulls,99,Box Score,,"21,506",
67.0,"Sat, Nov 10, 2018",8:00p,Philadelphia 76ers,106,Memphis Grizzlies,112,Box Score,OT,"16,904",
68.0,"Sat, Nov 10, 2018",8:00p,Washington Wizards,116,Miami Heat,110,Box Score,,"19,600",
69.0,"Sat, Nov 10, 2018",8:30p,Brooklyn Nets,100,Golden State Warriors,116,Box Score,,"19,596",
70.0,"Sat, Nov 10, 2018",8:30p,Houston Rockets,89,San Antonio Spurs,96,Box Score,,"18,354",
71.0,"Sat, Nov 10, 2018",9:00p,Oklahoma City Thunder,96,Dallas Mavericks,111,Box Score,,"19,818",
72.0,"Sat, Nov 10, 2018",10:00p,Los Angeles Lakers,101,Sacramento Kings,86,Box Score,,"17,583",
73.0,"Sun, Nov 11, 2018",3:30p,Charlotte Hornets,113,Detroit Pistons,103,Box Score,,"15,133",
74.0,"Sun, Nov 11, 2018",7:00p,Indiana Pacers,103,Houston Rockets,115,Box Score,,"18,055",
75.0,"Sun, Nov 11, 2018",7:30p,Orlando Magic,115,New York Knicks,89,Box Score,,"19,812",
76.0,"Sun, Nov 11, 2018",8:00p,Milwaukee Bucks,121,Denver Nuggets,114,Box Score,,"19,520",
77.0,"Sun, Nov 11, 2018",9:00p,Boston Celtics,94,Portland Trail Blazers,100,Box Score,,"19,712",
78.0,"Sun, Nov 11, 2018",9:30p,Atlanta Hawks,106,Los Angeles Lakers,107,Box Score,,"18,997",
79.0,"Mon, Nov 12, 2018",7:00p,Orlando Magic,109,Washington Wizards,117,Box Score,,"15,346",
80.0,"Mon, Nov 12, 2018",7:30p,Philadelphia 76ers,124,Miami Heat,114,Box Score,,"19,600",
