,0.0,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
20.0,"Fri, Oct 19, 2018",8:00p,Sacramento Kings,129,New Orleans Pelicans,149,Box Score,,"18,337",
21.0,"Fri, Oct 19, 2018",8:00p,Boston Celtics,101,Toronto Raptors,113,Box Score,,"19,800",
22.0,"Fri, Oct 19, 2018",8:30p,Indiana Pacers,101,Milwaukee Bucks,118,Box Score,,"17,341",
23.0,"Fri, Oct 19, 2018",10:30p,Oklahoma City Thunder,92,Los Angeles Clippers,108,Box Score,,"14,816",
24.0,"Fri, Oct 19, 2018",10:30p,Golden State Warriors,124,Utah Jazz,123,Box Score,,"18,306",
25.0,"Sat, Oct 20, 2018",7:00p,Brooklyn Nets,112,Indiana Pacers,132,Box Score,,"17,007",
26.0,"Sat, Oct 20, 2018",7:00p,Toronto Raptors,117,Washington Wizards,113,Box Score,,"16,185",
27.0,"Sat, Oct 20, 2018",7:30p,Boston Celtics,103,New York Knicks,101,Box Score,,"19,427",
28.0,"Sat, Oct 20, 2018",7:30p,Orlando Magic,115,Philadelphia 76ers,116,Box Score,,"20,300",
29.0,"Sat, Oct 20, 2018",8:00p,Detroit Pistons,118,Chicago Bulls,116,Box Score,,"21,289",
30.0,"Sat, Oct 20, 2018",8:00p,Charlotte Hornets,113,Miami Heat,112,Box Score,,"19,600",
31.0,"Sat, Oct 20, 2018",8:30p,Minnesota Timberwolves,136,Dallas Mavericks,140,Box Score,,"20,205",
32.0,"Sat, Oct 20, 2018",9:00p,Phoenix Suns,91,Denver Nuggets,119,Box Score,,"19,592",
33.0,"Sat, Oct 20, 2018",10:00p,San Antonio Spurs,108,Portland Trail Blazers,121,Box Score,,"19,461",
34.0,"Sat, Oct 20, 2018",10:30p,Houston Rockets,124,Los Angeles Lakers,115,Box Score,,"18,997",
35.0,"Sun, Oct 21, 2018",6:00p,Atlanta Hawks,133,Cleveland Cavaliers,111,Box Score,,"19,432",
36.0,"Sun, Oct 21, 2018",7:00p,Sacramento Kings,131,Oklahoma City Thunder,120,Box Score,,"18,203",
37.0,"Sun, Oct 21, 2018",8:00p,Golden State Warriors,98,Denver Nuggets,100,Box Score,,"19,520",
38.0,"Sun, Oct 21, 2018",9:00p,Houston Rockets,112,Los Angeles Clippers,115,Box Score,,"16,149",
39.0,"Mon, Oct 22, 2018",7:30p,Orlando Magic,93,Boston Celtics,90,Box Score,,"18,624",
40.0,"Mon, Oct 22, 2018",7:30p,Charlotte Hornets,106,Toronto Raptors,127,Box Score,,"19,800",
41.0,"Mon, Oct 22, 2018",8:00p,New York Knicks,113,Milwaukee Bucks,124,Box Score,,"16,228",
42.0,"Mon, Oct 22, 2018",8:00p,Indiana Pacers,91,Minnesota Timberwolves,101,Box Score,,"10,371",
43.0,"Mon, Oct 22, 2018",8:30p,Chicago Bulls,109,Dallas Mavericks,115,Box Score,,"19,291",
44.0,"Mon, Oct 22, 2018",9:00p,Memphis Grizzlies,92,Utah Jazz,84,Box Score,,"18,306",
45.0,"Mon, Oct 22, 2018",10:00p,Washington Wizards,125,Portland Trail Blazers,124,Box Score,OT,"19,187",
46.0,"Mon, Oct 22, 2018",10:30p,Phoenix Suns,103,Golden State Warriors,123,Box Score,,"19,596",
47.0,"Mon, Oct 22, 2018",10:30p,San Antonio Spurs,143,Los Angeles Lakers,142,Box Score,OT,"18,997",
48.0,"Tue, Oct 23, 2018",7:00p,Philadelphia 76ers,132,Detroit Pistons,133,Box Score,OT,"14,418",
49.0,"Tue, Oct 23, 2018",8:00p,Los Angeles Clippers,109,New Orleans Pelicans,116,Box Score,,"14,625",
50.0,"Tue, Oct 23, 2018",9:00p,Sacramento Kings,112,Denver Nuggets,126,Box Score,,"13,214",
51.0,"Wed, Oct 24, 2018",7:00p,Dallas Mavericks,104,Atlanta Hawks,111,Box Score,,"16,705",
52.0,"Wed, Oct 24, 2018",7:00p,Brooklyn Nets,102,Cleveland Cavaliers,86,Box Score,,"19,432",
53.0,"Wed, Oct 24, 2018",7:30p,New York Knicks,87,Miami Heat,110,Box Score,,"19,600",
54.0,"Wed, Oct 24, 2018",7:30p,Minnesota Timberwolves,105,Toronto Raptors,112,Box Score,,"19,800",
55.0,"Wed, Oct 24, 2018",8:00p,Charlotte Hornets,110,Chicago Bulls,112,Box Score,,"19,170",
56.0,"Wed, Oct 24, 2018",8:00p,Utah Jazz,100,Houston Rockets,89,Box Score,,"18,055",
57.0,"Wed, Oct 24, 2018",8:30p,Indiana Pacers,116,San Antonio Spurs,96,Box Score,,"18,354",
