,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS, , ,Attend.,Notes
71.0,8:00p,Milwaukee Bucks,114,San Antonio Spurs,121,Box Score,,"18,594",
72.0,8:30p,Phoenix Suns,115,Golden State Warriors,111,Box Score,,"19,596",
73.0,7:00p,Toronto Raptors,101,Cleveland Cavaliers,126,Box Score,,"19,432",
74.0,7:00p,Sacramento Kings,115,Washington Wizards,121,Box Score,,"15,012",
75.0,7:30p,Detroit Pistons,75,Brooklyn Nets,103,Box Score,,"17,732",
76.0,8:00p,Charlotte Hornets,106,Houston Rockets,118,Box Score,,"18,055",
77.0,9:00p,Oklahoma City Thunder,98,Utah Jazz,89,Box Score,,"18,306",
78.0,10:30p,Boston Celtics,115,Los Angeles Clippers,140,Box Score,,"19,068",
79.0,7:00p,New York Knicks,98,Indiana Pacers,103,Box Score,,"16,679",
80.0,7:00p,Cleveland Cavaliers,99,Philadelphia 76ers,106,Box Score,,"20,420",
81.0,8:00p,Los Angeles Lakers,123,Chicago Bulls,107,Box Score,,"21,359",
82.0,8:00p,San Antonio Spurs,112,Dallas Mavericks,105,Box Score,,"20,366",
83.0,8:00p,Milwaukee Bucks,130,New Orleans Pelicans,113,Box Score,,"15,562",
84.0,10:30p,Minnesota Timberwolves,107,Denver Nuggets,133,Box Score,,"16,874",
85.0,10:30p,Portland Trail Blazers,125,Los Angeles Clippers,104,Box Score,,"16,686",
86.0,7:00p,Brooklyn Nets,96,Oklahoma City Thunder,108,Box Score,,"18,203",
87.0,7:00p,Orlando Magic,90,Washington Wizards,100,Box Score,,"15,107",
88.0,7:30p,Memphis Grizzlies,111,Atlanta Hawks,132,Box Score,,"15,169",
89.0,7:30p,Detroit Pistons,74,Miami Heat,108,Box Score,,"19,600",
90.0,9:30p,Golden State Warriors,106,Houston Rockets,104,Box Score,,"18,122",
91.0,10:00p,Utah Jazz,114,Phoenix Suns,97,Box Score,,"18,055",
92.0,7:00p,Oklahoma City Thunder,106,Indiana Pacers,108,Box Score,,"16,656",
93.0,7:00p,Cleveland Cavaliers,91,Orlando Magic,120,Box Score,,"18,091",
94.0,7:30p,Sacramento Kings,120,Boston Celtics,126,Box Score,,"18,624",
95.0,8:00p,Los Angeles Lakers,98,Toronto Raptors,111,Box Score,,"19,962",
96.0,9:00p,Minnesota Timberwolves,100,Utah Jazz,120,Box Score,,"18,306",
97.0,10:30p,Dallas Mavericks,99,Denver Nuggets,100,Box Score,,"19,520",
98.0,7:00p,Los Angeles Lakers,97,Detroit Pistons,111,Box Score,,"20,768",
99.0,7:00p,Sacramento Kings,114,Philadelphia 76ers,123,Box Score,,"20,704",
100.0,7:00p,Charlotte Hornets,116,Washington Wizards,110,Box Score,,"19,520",
101.0,8:00p,Phoenix Suns,102,Houston Rockets,108,Box Score,,"18,055",
102.0,8:00p,Milwaukee Bucks,113,Miami Heat,98,Box Score,,"19,600",
103.0,8:00p,Portland Trail Blazers,122,New Orleans Pelicans,110,Box Score,,"16,117",
104.0,8:30p,New York Knicks,83,San Antonio Spurs,109,Box Score,,"18,354",
